pass_num,pass_year,mo_num,pass,year,month,date,avg_new_snowfall_in,avg_tot_snowfall_in,mean_ONI,ENSO
11,2019,2,Snoqualmie,2020,Feb,2020-02-01,2.53546,69,-0.82,La Niña
11,2019,3,Snoqualmie,2020,Mar,2020-03-01,1.348387,70,-0.82,La Niña
11,2019,4,Snoqualmie,2020,Apr,2020-04-01,0.556666,50,-0.82,La Niña
11,2019,5,Snoqualmie,2020,May,2020-05-01,0.006451,11,-0.82,La Niña
12,2020,10,White,2020,Oct,2020-10-01,0,0,-0.82,La Niña
12,2020,11,White,2020,Nov,2020-11-01,1.060483,3,-0.82,La Niña
12,2020,12,White,2020,Dec,2020-12-01,2.389261,20,-0.82,La Niña
12,2020,1,White,2021,Jan,2021-01-01,2.335526,42,-0.843333333333333,La Niña
12,2020,2,White,2021,Feb,2021-02-01,2.526595,53,-0.843333333333333,La Niña
12,2020,3,White,2021,Mar,2021-03-01,1.246666,58,-0.843333333333333,La Niña
12,2020,4,White,2021,Apr,2021-04-01,0.688202,48,-0.843333333333333,La Niña
1,2021,11,Blewett,2021,Nov,2021-11-01,0.589743,2,-0.843333333333333,La Niña
1,2021,12,Blewett,2021,Dec,2021-12-01,1.026143,10,-0.843333333333333,La Niña
1,2021,1,Blewett,2022,Jan,2022-01-01,1.231788,20,-0.440833333333333,Neutral
1,2021,2,Blewett,2022,Feb,2022-02-01,1.208955,26,-0.440833333333333,Neutral
1,2021,3,Blewett,2022,Mar,2022-03-01,0.477124,19,-0.440833333333333,Neutral
1,2021,4,Blewett,2022,Apr,2022-04-01,0.18421,1,-0.440833333333333,Neutral
10,2022,10,Stevens,2022,Oct,2022-10-01,0.735632,0,-0.440833333333333,Neutral
10,2022,11,Stevens,2022,Nov,2022-11-01,1.85906,10,-0.440833333333333,Neutral
10,2022,12,Stevens,2022,Dec,2022-12-01,3.26923,34,-0.440833333333333,Neutral
10,2022,1,Stevens,2023,Jan,2023-01-01,3.548387,70,1.27333333333333,El Niño
10,2022,2,Stevens,2023,Feb,2023-02-01,4.069148,92,1.27333333333333,El Niño
10,2022,3,Stevens,2023,Mar,2023-03-01,1.312903,101,1.27333333333333,El Niño
10,2022,4,Stevens,2023,Apr,2023-04-01,1.788135,97,1.27333333333333,El Niño
11,2023,10,Snoqualmie,2023,Oct,2023-10-01,0.087096,0,1.27333333333333,El Niño
11,2023,11,Snoqualmie,2023,Nov,2023-11-01,1.343333,7,1.27333333333333,El Niño
11,2023,12,Snoqualmie,2023,Dec,2023-12-01,3.403225,32,1.27333333333333,El Niño
11,2023,1,Snoqualmie,2024,Jan,2024-01-01,2.774193,65,NA,NA
11,2023,2,Snoqualmie,2024,Feb,2024-02-01,3.368794,80,NA,NA
11,2023,3,Snoqualmie,2024,Mar,2024-03-01,1.02258,84,NA,NA
11,2023,4,Snoqualmie,2024,Apr,2024-04-01,0.833333,65,NA,NA
11,2023,5,Snoqualmie,2024,May,2024-05-01,0.032258,17,NA,NA
12,2024,10,White,2024,Oct,2024-10-01,0.09375,0,NA,NA
12,2024,11,White,2024,Nov,2024-11-01,0.971337,5,NA,NA
12,2024,12,White,2024,Dec,2024-12-01,1.820261,19,NA,NA
12,2024,1,White,2025,Jan,2025-01-01,2.264802,43,NA,NA
12,2024,2,White,2025,Feb,2025-02-01,1.844642,54,NA,NA
12,2024,3,White,2025,Mar,2025-03-01,1.21875,65,NA,NA
12,2024,4,White,2025,Apr,2025-04-01,1.065,59,NA,NA
